drugbank_id,name,other_drug_name,interaction_description
db00001,lepirudin,proquazone,the risk or severity of bleeding and hemorrhage can be increased when proquazone is combined with lepirudin.
db00001,lepirudin,benorilate,the risk or severity of bleeding and hemorrhage can be increased when benorilate is combined with lepirudin.
db00001,lepirudin,pirprofen,the risk or severity of bleeding and hemorrhage can be increased when pirprofen is combined with lepirudin.
db00001,lepirudin,imidazole salicylate,the risk or severity of bleeding and hemorrhage can be increased when imidazole salicylate is combined with lepirudin.
db00001,lepirudin,sc-236,the risk or severity of bleeding and hemorrhage can be increased when sc-236 is combined with lepirudin.
db00001,lepirudin,ns-398,the risk or severity of bleeding and hemorrhage can be increased when ns-398 is combined with lepirudin.
db00001,lepirudin,flurbiprofen axetil,the risk or severity of bleeding and hemorrhage can be increased when flurbiprofen axetil is combined with lepirudin.
db00001,lepirudin,loxoprofen,the risk or severity of bleeding and hemorrhage can be increased when loxoprofen is combined with lepirudin.
db00001,lepirudin,niflumic acid,the risk or severity of bleeding and hemorrhage can be increased when niflumic acid is combined with lepirudin.
db00001,lepirudin,omacetaxine mepesuccinate,the risk or severity of bleeding can be increased when lepirudin is combined with omacetaxine mepesuccinate.
db00001,lepirudin,omega-3 fatty acids,omega-3 fatty acids may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,tositumomab,the risk or severity of bleeding and hemorrhage can be increased when lepirudin is combined with tositumomab.
db00001,lepirudin,collagenase clostridium histolyticum,the risk or severity of adverse effects can be increased when lepirudin is combined with collagenase clostridium histolyticum.
db00001,lepirudin,carbimazole,carbimazole may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,propylthiouracil,propylthiouracil may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,methimazole,methimazole may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,"3,5-diiodotyrosine","3,5-diiodotyrosine may increase the anticoagulant activities of lepirudin."
db00001,lepirudin,potassium iodide,potassium iodide may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,dibromotyrosine,dibromotyrosine may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,potassium perchlorate,potassium perchlorate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,methylthiouracil,methylthiouracil may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,benzylthiouracil,benzylthiouracil may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,octylphenoxy polyethoxyethanol,the therapeutic efficacy of lepirudin can be decreased when used in combination with octylphenoxy polyethoxyethanol.
db00001,lepirudin,trestolone,the therapeutic efficacy of lepirudin can be decreased when used in combination with trestolone.
db00001,lepirudin,ulipristal,the therapeutic efficacy of lepirudin can be decreased when used in combination with ulipristal.
db00001,lepirudin,cloprostenol,the therapeutic efficacy of lepirudin can be decreased when used in combination with cloprostenol.
db00001,lepirudin,gossypol,the therapeutic efficacy of lepirudin can be decreased when used in combination with gossypol.
db00001,lepirudin,etonogestrel,the therapeutic efficacy of lepirudin can be decreased when used in combination with etonogestrel.
db00001,lepirudin,dydrogesterone,dydrogesterone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,progesterone,the therapeutic efficacy of lepirudin can be decreased when used in combination with progesterone.
db00001,lepirudin,allylestrenol,allylestrenol may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,norelgestromin,the therapeutic efficacy of lepirudin can be decreased when used in combination with norelgestromin.
db00001,lepirudin,hydroxyprogesterone caproate,the therapeutic efficacy of lepirudin can be decreased when used in combination with hydroxyprogesterone caproate.
db00001,lepirudin,medrogestone,medrogestone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,altrenogest,altrenogest may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,nomegestrol,the therapeutic efficacy of lepirudin can be decreased when used in combination with nomegestrol.
db00001,lepirudin,gestonorone,gestonorone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,methylestrenolone,methylestrenolone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,promegestone,promegestone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,etynodiol,the therapeutic efficacy of lepirudin can be decreased when used in combination with etynodiol.
db00001,lepirudin,hydroxyprogesterone,hydroxyprogesterone may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,quingestanol acetate,quingestanol acetate may decrease the anticoagulant activities of lepirudin.
db00001,lepirudin,aminosalicylic acid,the risk or severity of bleeding can be increased when aminosalicylic acid is combined with lepirudin.
db00001,lepirudin,bismuth subsalicylate,the risk or severity of bleeding can be increased when bismuth subsalicylate is combined with lepirudin.
db00001,lepirudin,dersalazine,the risk or severity of bleeding can be increased when dersalazine is combined with lepirudin.
db00001,lepirudin,phenyl aminosalicylate,the risk or severity of bleeding can be increased when phenyl aminosalicylate is combined with lepirudin.
db00001,lepirudin,methyl salicylate,the risk or severity of bleeding can be increased when methyl salicylate is combined with lepirudin.
db00001,lepirudin,trolamine salicylate,the risk or severity of bleeding can be increased when trolamine salicylate is combined with lepirudin.
db00001,lepirudin,aloxiprin,the risk or severity of bleeding can be increased when aloxiprin is combined with lepirudin.
db00001,lepirudin,choline salicylate,the risk or severity of bleeding can be increased when choline salicylate is combined with lepirudin.
db00001,lepirudin,thiosalicylic acid,the risk or severity of bleeding can be increased when thiosalicylic acid is combined with lepirudin.
db00001,lepirudin,abciximab,the risk or severity of bleeding can be increased when abciximab is combined with lepirudin.
db00001,lepirudin,eptifibatide,the risk or severity of bleeding can be increased when eptifibatide is combined with lepirudin.
db00001,lepirudin,ticlopidine,the risk or severity of bleeding can be increased when ticlopidine is combined with lepirudin.
db00001,lepirudin,anagrelide,the risk or severity of bleeding can be increased when anagrelide is combined with lepirudin.
db00001,lepirudin,clopidogrel,the risk or severity of bleeding can be increased when clopidogrel is combined with lepirudin.
db00001,lepirudin,tirofiban,the risk or severity of bleeding can be increased when tirofiban is combined with lepirudin.
db00001,lepirudin,dipyridamole,the risk or severity of bleeding can be increased when dipyridamole is combined with lepirudin.
db00001,lepirudin,iloprost,iloprost may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,sulfinpyrazone,the risk or severity of bleeding can be increased when sulfinpyrazone is combined with lepirudin.
db00001,lepirudin,cilostazol,the risk or severity of bleeding can be increased when cilostazol is combined with lepirudin.
db00001,lepirudin,ridogrel,the risk or severity of bleeding can be increased when ridogrel is combined with lepirudin.
db00001,lepirudin,epoprostenol,the risk or severity of bleeding can be increased when epoprostenol is combined with lepirudin.
db00001,lepirudin,resveratrol,the risk or severity of bleeding can be increased when resveratrol is combined with lepirudin.
db00001,lepirudin,nimesulide,the risk or severity of bleeding can be increased when nimesulide is combined with lepirudin.
db00001,lepirudin,tesmilifene,the risk or severity of bleeding can be increased when tesmilifene is combined with lepirudin.
db00001,lepirudin,defibrotide,the risk or severity of bleeding can be increased when defibrotide is combined with lepirudin.
db00001,lepirudin,beraprost,the risk or severity of bleeding can be increased when beraprost is combined with lepirudin.
db00001,lepirudin,ibudilast,the risk or severity of bleeding can be increased when ibudilast is combined with lepirudin.
db00001,lepirudin,andrographolide,the risk or severity of bleeding can be increased when andrographolide is combined with lepirudin.
db00001,lepirudin,caplacizumab,the risk or severity of bleeding can be increased when caplacizumab is combined with lepirudin.
db00001,lepirudin,prasugrel,the risk or severity of bleeding can be increased when prasugrel is combined with lepirudin.
db00001,lepirudin,cangrelor,the risk or severity of bleeding can be increased when cangrelor is combined with lepirudin.
db00001,lepirudin,tranilast,the risk or severity of bleeding can be increased when tranilast is combined with lepirudin.
db00001,lepirudin,triflusal,the risk or severity of bleeding can be increased when triflusal is combined with lepirudin.
db00001,lepirudin,ticagrelor,the risk or severity of bleeding can be increased when ticagrelor is combined with lepirudin.
db00001,lepirudin,icosapent ethyl,the risk or severity of bleeding can be increased when icosapent ethyl is combined with lepirudin.
db00001,lepirudin,trapidil,the risk or severity of bleeding can be increased when trapidil is combined with lepirudin.
db00001,lepirudin,naftopidil,the risk or severity of bleeding can be increased when naftopidil is combined with lepirudin.
db00001,lepirudin,sarpogrelate,the risk or severity of bleeding can be increased when sarpogrelate is combined with lepirudin.
db00001,lepirudin,ifetroban,the risk or severity of bleeding can be increased when ifetroban is combined with lepirudin.
db00001,lepirudin,nitroaspirin,the risk or severity of bleeding can be increased when nitroaspirin is combined with lepirudin.
db00001,lepirudin,indobufen,the risk or severity of bleeding can be increased when indobufen is combined with lepirudin.
db00001,lepirudin,butylphthalide,the risk or severity of bleeding can be increased when butylphthalide is combined with lepirudin.
db00001,lepirudin,hydroxytyrosol,the risk or severity of bleeding can be increased when hydroxytyrosol is combined with lepirudin.
db00001,lepirudin,ramatroban,the risk or severity of bleeding can be increased when ramatroban is combined with lepirudin.
db00001,lepirudin,picotamide,the risk or severity of bleeding can be increased when picotamide is combined with lepirudin.
db00001,lepirudin,cloricromen,the risk or severity of bleeding can be increased when cloricromen is combined with lepirudin.
db00001,lepirudin,linsidomine,the risk or severity of bleeding can be increased when linsidomine is combined with lepirudin.
db00001,lepirudin,buflomedil,the risk or severity of bleeding can be increased when buflomedil is combined with lepirudin.
db00001,lepirudin,relcovaptan,the risk or severity of bleeding can be increased when relcovaptan is combined with lepirudin.
db00001,lepirudin,maritime pine extract,the risk or severity of bleeding can be increased when maritime pine extract is combined with lepirudin.
db00001,lepirudin,treprostinil,the risk or severity of bleeding can be increased when treprostinil is combined with lepirudin.
db00001,lepirudin,hemin,hemin may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,acemetacin,the risk or severity of bleeding and hemorrhage can be increased when lepirudin is combined with acemetacin.
db00001,lepirudin,testosterone,testosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,testosterone propionate,testosterone propionate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,1-testosterone,1-testosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,4-hydroxytestosterone,4-hydroxytestosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,dehydrochloromethyltestosterone,dehydrochloromethyltestosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,boldenone,boldenone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,18-methyl-19-nortestosterone,18-methyl-19-nortestosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,calusterone,calusterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,formebolone,formebolone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,methyl-1-testosterone,methyl-1-testosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,5beta-dihydrotestosterone,5beta-dihydrotestosterone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,testosterone succinate,testosterone succinate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,mibolerone,mibolerone may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,testosterone cypionate,testosterone cypionate may increase the anticoagulant activities of lepirudin.
db00001,lepirudin,testosterone enanthate,testosterone enanthate may increase the anticoagulant activities of lepirudin.
